"Provincia"|||"Municipio"|||"Localidad"|||"Código postal"|||"Dirección"|||"Margen"|||"Longitud"|||"Latitud"|||"Toma de datos"|||"Precio gasolina 95 E5"|||"Precio gasolina 95 E10"|||"Precio gasolina 95 E5 Premium"|||"Precio gasolina 98 E5"|||"Precio gasolina 98 E10"|||"Precio gasóleo A"|||"Precio gasóleo Premium"|||"Precio gasóleo B"|||"Precio gasóleo C"|||"Precio bioetanol"|||"% bioalcohol"|||"Precio biodiésel"|||"% éster metílico"|||"Precio gases licuados del petróleo"|||"Precio gas natural comprimido"|||"Precio gas natural licuado"|||"Precio hidrógeno"|||"Rótulo"|||"Tipo venta"|||"Rem."|||"Horario"|||"Tipo servicio"|||
"BARCELONA"|||"ABRERA"|||"ENTITAT EST D'ABRERA"|||"08630"|||"CALLE HOSTAL DEL PI S/N, S/N"|||"N"|||"1,902972"|||"41,507833"|||"18/05/2023 11:00"|||"1,599"|||""|||"1,619"|||""|||""|||"1,369"|||"1,389"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"NIEVES"|||"P"|||"dm"|||"L-V: 07:00-22:00; S-D: 10:00-22:00"|||"L-V: 07:00-22:00 (A); S-D: 10:00-22:00 (A)"|||
"BARCELONA"|||"ABRERA"|||"ABRERA"|||"08630"|||"CALLE SALVADOR SEGUI,1, "|||"N"|||"1,897556"|||"41,515306"|||"15/05/2023 12:45"|||"1,599"|||""|||""|||"1,789"|||""|||"1,399"|||"1,519"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"GALP"|||"P"|||"dm"|||"L-D: 24H"|||"Sin datos"|||
"BARCELONA"|||"ABRERA"|||"ABRERA"|||"08630"|||"PASAJE TREBALL DEL, 1"|||"D"|||"1,897944"|||"41,514583"|||"15/05/2023 12:30"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"1,039"|||"0,979"|||""|||"HAM"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"ABRERA"|||"ABRERA"|||"08630"|||"AVENIDA ENERGIA, 9"|||"N"|||"1,896833"|||"41,509222"|||"15/05/2023 17:14"|||""|||""|||""|||""|||""|||"1,270"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"BALTRAN S.A"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"ABRERA"|||"ABRERA"|||"08630"|||"AVENIDA ENERGIA, 10"|||"D"|||"1,897944"|||"41,509944"|||"15/05/2023 11:11"|||""|||""|||""|||""|||""|||"1,322"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"TRANSPORTES SOLAZO"|||"R"|||"dm"|||"L-V: 08:30-18:30"|||"L-V: 08:30-18:30 (A)"|||
"BARCELONA"|||"ABRERA"|||"ABRERA"|||"08630"|||"CALLE TREBALL, 1"|||"N"|||"1,897944"|||"41,514583"|||"15/05/2023 12:52"|||""|||""|||""|||""|||""|||"1,399"|||""|||"1,269"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"HAM"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"ALELLA"|||"ALELLA"|||"08328"|||"CARRER RIERA, 48"|||"D"|||"2,298194"|||"41,488167"|||"17/05/2023 02:09"|||"1,619"|||""|||""|||""|||""|||"1,379"|||"1,409"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"AUTONETOIL"|||"P"|||"dm"|||"L-D: 24H"|||"L-V: 00:00-07:00 (D), 07:00-22:00 (A), 22:00-23:59 (D); S: 00:00-08:00 (D), 08:00-22:00 (A), 22:00-23:59 (D); D: 00:00-08:00 (D), 08:00-15:00 (A), 15:00-16:00 (D), 16:00-22:00 (A), 22:00-23:59 (D)"|||
"BARCELONA"|||"ALELLA"|||"ALELLA"|||"08328"|||"CARRETERA ALELLA KM. 1"|||"N"|||"2,304528"|||"41,481083"|||"18/05/2023 00:00"|||"1,679"|||""|||""|||"1,821"|||""|||"1,439"|||"1,529"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"BP ALELLA"|||"P"|||"OM"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"AMETLLA DEL VALLÈS (L')"|||"AMETLLA DEL VALLES (L')"|||"08480"|||"CALLE SECTOR MAS DORCA, 2"|||"N"|||"2,268028"|||"41,643500"|||"16/05/2023 11:42"|||"1,529"|||""|||""|||""|||""|||"1,329"|||"1,389"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"PETROLIS INDEPENDENTS - PETRO7"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"AMETLLA DEL VALLÈS (L')"|||"SERRAT DE L'OCATA"|||"08480"|||"CR C-17, 26,65"|||"D"|||"2,269667"|||"41,664778"|||"18/05/2023 00:00"|||"1,609"|||""|||""|||"1,759"|||""|||"1,409"|||"1,459"|||""|||""|||""|||""|||""|||""|||"0,939"|||""|||""|||""|||"PETROCAT"|||"P"|||"OM"|||"L-J: 05:00-23:00; V: 05:00-23:59; S: 00:00-23:59; D: 00:00-23:00"|||"L-J: 05:00-23:00 (A); V: 05:00-23:59 (A); S: 24H (A); D: 00:00-23:00 (A)"|||
